roomIndex_1,roomIndex_2,coordiates_1,coordiates_2,recordPow,recordSnr,recordAoaAz,recordAzErr,recordBfGain
13,42,6.2,-1.9,-83.6087147625778,34.3397956201252,84.4,5.59999999999999,19.3713084653222
13,43,6.35,-1.9,-88.3400508052469,26.4987568797704,8,5.39744,18.6015578596533
13,44,6.5,-1.9,-88.7317753856482,23.2118532969495,177,173.98721,18.6015578596533
13,45,6.65,-1.9,-85.1565556990848,38.2350356704185,-83.8,0.0298000000000087,19.7883589790945
13,46,6.8,-1.9,-77.95155402278,48.6439128318239,-88.4,2.2655,19.6840739356895
13,47,6.95,-1.9,-77.018257964395,45.2002138344525,-83.4,3.8921,19.4979384670896
13,48,7.1,-1.9,-77.0042801856176,42.707625711994,-88.4,0.0518000000000001,19.2771262560482
13,49,7.25,-1.9,-76.7737832104154,40.8419831657096,-95.6,5.9871,19.0226357839534
13,50,7.4,-1.9,-77.2616541825216,36.1036955817876,-90.8,0.0258000000000038,18.7131945107713
13,51,7.55,-1.9,-77.0846767927501,47.8321533609469,-88.6,3.3349,18.4909885365962
13,52,7.7,-1.9,-77.3520001375589,49.1999779287797,-91,2.0941,18.3613413757516
13,53,7.85,-1.9,-77.1153065602859,49.6445440414259,-97.8,3.5493,18.1997534774959
13,54,8,-1.9,-76.7872699153933,50.6042636871739,-95.4,0.00379999999999825,17.9971182091684
13,55,8.15,-1.9,-76.189173286783,48.350253542899,-87.8,8.7526,17.7459553102714
13,56,8.3,-1.9,-76.0138638376418,51.8008426046485,-90.8,6.8961,17.4686046726881
13,57,8.45,-1.9,-75.9971855767556,49.8943510386101,-98.8,0.0334000000000003,17.1668648328375
13,58,8.6,-1.9,-76.132719524375,49.5020720326763,-100,0.0361999999999938,16.8424413994915
13,59,8.75,-1.9,-75.2043040253384,49.2607729238146,-93.8,7.286,16.4692184792148
13,60,8.9,-1.9,-74.9653686378663,49.8605051072263,-107,4.8,16.0759652826272
